source,target,importance
ALAS1,ALAS1,0.99998534
ALAS2,ALAS2,0.9999933
ALCAM,ALCAM,0.9999761
ALDH16A1,ALDH16A1,0.99999994
ALDH18A1,ALDH18A1,0.9999617
ALDH1B1,ALDH1B1,0.9999625
ALDH1L2,ALDH1L2,0.9999853
ALDH2,ALDH2,1.0
SKOR1,ALDH3A2,0.44000888
ALDH3A2,ALDH3A2,0.99992555
ALDH3B1,ALDH3B1,1.0
ALDH4A1,ALDH4A1,0.9999996
ALDH5A1,ALDH5A1,1.0
ALDH6A1,ALDH6A1,0.99998444
ALDH9A1,ALDH9A1,1.0
ALDOA,ALDOA,0.9999989
ALDOC,ALDOC,0.9999887
ALG1,ALG1,0.9999642
ALG10,ALG10,0.9999799
ALG10B,ALG10B,1.0
ALG11,ALG11,0.9999894
ALG12,ALG12,1.0
ALG13,ALG13,0.9999942
ALG14,ALG14,0.9999651
ALG1L,ALG1L,0.9999517
ALG2,ALG2,1.0
ALG3,ALG3,0.9999969
ALG5,ALG5,1.0
ALG6,ALG6,0.9999801
ALG8,ALG8,0.9999858
ALG9,ALG9,1.0
ALKBH1,ALKBH1,1.0
ALKBH2,ALKBH2,1.0
ALKBH3,ALKBH3,0.99996185
ALKBH4,ALKBH4,1.0
ALKBH5,ALKBH5,1.0
ALKBH6,ALKBH6,1.0
ALKBH7,ALKBH7,1.0
ALKBH8,ALKBH8,1.0
ALMS1,ALMS1,1.0
ALOX12,ALOX12,1.0
ALOX5,ALOX5,1.0
ALPK1,ALPK1,1.0
ALS2,ALS2,0.99999696
ALX4,ALX4,0.99997014
ALYREF,ALYREF,0.9999984
AMACR,AMACR,0.99998856
AMBRA1,AMBRA1,1.0
AMDHD2,AMDHD2,0.999982
AMD1,AMD1,0.9999987
AMER1,AMER1,1.0
AMFR,AMFR,0.9999997
AMH,AMH,1.0
AMHR2,AMHR2,0.9999747
AMIGO1,AMIGO1,1.0
AMMECR1,AMMECR1,0.9999889
AMMECR1L,AMMECR1L,0.9999565
AMN1,AMN1,0.99999815
AMOTL1,AMOTL1,1.0
AMPD2,AMPD2,1.0
AMPD3,AMPD3,1.0
AMT,AMT,1.0
AMZ2,AMZ2,1.0
ANAPC1,ANAPC1,1.0
ANAPC10,ANAPC10,1.0
ANAPC11,ANAPC11,0.99999905
ANAPC13,ANAPC13,0.99999386
ANAPC15,ANAPC15,1.0
ANAPC16,ANAPC16,1.0
ANAPC2,ANAPC2,1.0
ANAPC4,ANAPC4,1.0
ANAPC5,ANAPC5,0.9999968
ANAPC7,ANAPC7,1.0
ANG,ANG,1.0
ANGEL1,ANGEL1,0.99996436
ANGEL2,ANGEL2,0.9999994
ANGPT1,ANGPT1,1.0
ANGPT2,ANGPT2,1.0
NDRG1,ANGPTL4,0.40202942
ATP8B4,ANGPTL4,0.42780215
PLAU,ANGPTL4,0.44910458
ANGPTL4,ANGPTL4,1.0
ANGPTL6,ANGPTL6,1.0
ANK1,ANK1,0.9999903
ANKAR,ANKAR,1.0
ANKDD1A,ANKDD1A,0.99995387
ANKDD1B,ANKDD1B,0.9999935
ANKEF1,ANKEF1,1.0
ANKFY1,ANKFY1,0.9999819
ANKH,ANKH,0.99999976
ANKHD1,ANKHD1,1.0
ANKIB1,ANKIB1,0.9999823
ANKLE1,ANKLE1,0.99997956
ANKLE2,ANKLE2,0.9999928
ANKMY1,ANKMY1,1.0
ANKMY2,ANKMY2,1.0
ANKRA2,ANKRA2,0.9999626
ANKRD10,ANKRD10,1.0
ANKRD11,ANKRD11,0.9999738
ANKRD12,ANKRD12,0.9999892
ANKRD13A,ANKRD13A,1.0
ANKRD13B,ANKRD13B,0.9999999
ANKRD13C,ANKRD13C,0.9999962
ANKRD13D,ANKRD13D,1.0
ANKRD16,ANKRD16,0.99997586
ANKRD17,ANKRD17,1.0
ANKRD23,ANKRD23,0.9999995
ANKRD26,ANKRD26,1.0
ANKRD27,ANKRD27,1.0
ANKRD28,ANKRD28,0.9999738
ANKRD33B,ANKRD33B,0.9999911
ANKRD34A,ANKRD34A,0.9999709
ANKRD36,ANKRD36,0.99998945
ANKRD36C,ANKRD36C,1.0
ANKRD37,ANKRD37,0.9999905
ANKRD39,ANKRD39,1.0
ANKRD40,ANKRD40,0.9999742
ANKRD42,ANKRD42,1.0
ANKRD45,ANKRD45,1.0
ANKRD46,ANKRD46,0.9999859
ANKRD49,ANKRD49,0.9999979
ANKRD50,ANKRD50,1.0
ANKRD52,ANKRD52,0.9999621
ANKRD54,ANKRD54,1.0
ICOSLG,ANKRD55,0.40611914
SERPINE1,ANKRD55,0.41441157
CYTIP,ANKRD55,0.55587804
S100A16,ANKRD55,0.576472
GPX5,ANKRD55,0.5957931
MYH14,ANKRD55,0.6222708
HAS1,ANKRD55,0.7925757
ANKRD55,ANKRD55,1.0
ANKRD6,ANKRD6,0.9999747
ANKRD9,ANKRD9,1.0
ANKS1A,ANKS1A,0.999972
ANKS3,ANKS3,0.9999754
ANKS6,ANKS6,1.0
ANKZF1,ANKZF1,0.9999713
ANLN,ANLN,0.9999751
ANO10,ANO10,0.9999567
ANO5,ANO5,0.9999618
ANO6,ANO6,1.0
ANO7,ANO7,1.0
ANO8,ANO8,0.99994224
ANO9,ANO9,0.9999666
ANP32A,ANP32A,0.99999654
ANP32B,ANP32B,0.9999991
ANP32E,ANP32E,1.0
ANPEP,ANPEP,0.9999995
ANTXR1,ANTXR1,1.0
ANTXR2,ANTXR2,1.0
ANXA1,ANXA1,0.99999505
ANXA11,ANXA11,0.99999756
ANXA2,ANXA2,0.999994
ANXA2R,ANXA2R,0.9999986
ANXA3,ANXA3,1.0
ANXA4,ANXA4,1.0
ANXA5,ANXA5,0.99999136
ANXA6,ANXA6,0.99997556
ANXA7,ANXA7,0.9999873
ANXA9,ANXA9,1.0
AOC2,AOC2,0.9999688
AOC3,AOC3,1.0
AP1AR,AP1AR,0.99997383
AP1B1,AP1B1,1.0
AP1G1,AP1G1,0.99997157
AP1G2,AP1G2,1.0
AP1M1,AP1M1,1.0
AP1S1,AP1S1,0.9999857
AP1S2,AP1S2,1.0
AP1S3,AP1S3,0.99996746
AP2A1,AP2A1,0.99996656
AP2A2,AP2A2,1.0
AP2B1,AP2B1,0.9999735
AP2M1,AP2M1,1.0
AP2S1,AP2S1,1.0
AP3B1,AP3B1,0.99999464
AP3D1,AP3D1,1.0
AP3M1,AP3M1,1.0
AP3M2,AP3M2,1.0
AP3S1,AP3S1,1.0
AP3S2,AP3S2,1.0
AP4B1,AP4B1,1.0
AP4E1,AP4E1,1.0
AP4M1,AP4M1,0.99999946
AP4S1,AP4S1,0.9999817
AP5B1,AP5B1,1.0
AP5M1,AP5M1,0.9999981
AP5S1,AP5S1,0.99998087
AP5Z1,AP5Z1,1.0
APAF1,APAF1,1.0
APBA2,APBA2,0.99997395
APBA3,APBA3,1.0
APBB1,APBB1,0.99999225
APBB2,APBB2,0.99997646
APBB3,APBB3,0.99996173
APC,APC,1.0
APC2,APC2,0.9999904
APEH,APEH,0.99999416
APEX1,APEX1,1.0
APEX2,APEX2,1.0
APH1A,APH1A,1.0
APH1B,APH1B,1.0
API5,API5,1.0
APIP,APIP,1.0
APLF,APLF,1.0
APLN,APLN,1.0
APLNR,APLNR,1.0
APLP1,APLP1,0.9999592
APLP2,APLP2,1.0
APMAP,APMAP,1.0
APOA1,APOA1,1.0
APOA2,APOA2,0.9999958
APOBEC3B,APOBEC3B,1.0
APOBEC3C,APOBEC3C,0.9999999
APOBEC3D,APOBEC3D,1.0
APOBEC3F,APOBEC3F,1.0
APOBEC3G,APOBEC3G,1.0
APOBR,APOBR,0.9999884
APOC1,APOC1,1.0
APOC2,APOC2,1.0
APOE,APOE,1.0
APOL1,APOL1,1.0
APOL2,APOL2,1.0
APOL4,APOL4,0.9999537
PROC,APOL6,0.4259494
S100A14,APOL6,0.4304185
CHRNB4,APOL6,0.45079812
APOL6,APOL6,1.0
APOLD1,APOLD1,1.0
APOM,APOM,0.99998033
APOO,APOO,0.9999762
APOOL,APOOL,1.0
APPBP2,APPBP2,0.99999934
APPL1,APPL1,1.0
APPL2,APPL2,0.99998826
APRT,APRT,0.99999917
APTX,APTX,1.0
AQP1,AQP1,1.0
AQP10,AQP10,0.99996275
KLHDC8A,AQP11,0.41316
STAMBPL1,AQP11,0.506817
AQP11,AQP11,0.99994105
AQP3,AQP3,0.9999993
AQP7,AQP7,0.9999933
AQR,AQR,1.0
ARAF,ARAF,0.999999
ARAP1,ARAP1,0.99998415
ARCN1,ARCN1,1.0
AREG,AREG,1.0
AREL1,AREL1,1.0
ARF1,ARF1,0.99999875
ARF3,ARF3,0.99998677
ARF4,ARF4,0.99999166
ARF5,ARF5,1.0
ARF6,ARF6,0.99998665
ARFGAP1,ARFGAP1,0.99999535
ARFGAP2,ARFGAP2,0.9999747
ARFGAP3,ARFGAP3,1.0
ARFGEF1,ARFGEF1,0.9999894
ARFGEF2,ARFGEF2,0.9999583
ARFIP1,ARFIP1,0.9999995
ARFIP2,ARFIP2,1.0
ARFRP1,ARFRP1,0.99996555
ARG2,ARG2,0.9999624
ARGLU1,ARGLU1,1.0
ARHGAP1,ARHGAP1,1.0
