source,target,importance
ALDH1L2,ALDH1L2,0.99998164
ALDH2,ALDH2,1.0
SKOR1,ALDH3A2,0.5698222
ALDH3A2,ALDH3A2,0.9999841
ALDH3B1,ALDH3B1,0.99997836
ALDH4A1,ALDH4A1,0.9999702
ALDH5A1,ALDH5A1,0.99999845
ALDH6A1,ALDH6A1,0.99994916
ALDH9A1,ALDH9A1,1.0
ALDOA,ALDOA,1.0
ALDOC,ALDOC,0.99997413
ALG1,ALG1,0.9999722
ALG10,ALG10,1.0
ALG10B,ALG10B,1.0
ALG11,ALG11,0.9999829
ALG12,ALG12,0.99998873
ALG13,ALG13,0.9999695
ALG14,ALG14,1.0
ALG1L,ALG1L,1.0
ALG2,ALG2,1.0
ALG3,ALG3,0.9999943
ALG5,ALG5,0.99998975
ALG6,ALG6,1.0
ALG8,ALG8,1.0
ALG9,ALG9,1.0
ALKBH1,ALKBH1,0.999998
ALKBH2,ALKBH2,1.0
ALKBH3,ALKBH3,0.9999597
ALKBH4,ALKBH4,0.9999959
ALKBH5,ALKBH5,1.0
ALKBH6,ALKBH6,1.0
ALKBH7,ALKBH7,0.99999034
ALKBH8,ALKBH8,0.99995387
ALMS1,ALMS1,1.0
PLXNA4,ALOX12,0.55356836
ALOX12,ALOX12,1.0
ALOX5,ALOX5,1.0
ALPK1,ALPK1,1.0
ALS2,ALS2,1.0
ALX4,ALX4,0.9999914
ALYREF,ALYREF,1.0
AMACR,AMACR,0.9999723
AMBRA1,AMBRA1,0.99999523
AMDHD2,AMDHD2,1.0
AMD1,AMD1,0.99997944
AMER1,AMER1,0.99997324
AMFR,AMFR,1.0
AMH,AMH,0.9999787
AMHR2,AMHR2,1.0
AMIGO1,AMIGO1,0.99997485
AMMECR1,AMMECR1,1.0
AMMECR1L,AMMECR1L,0.99997336
AMN1,AMN1,0.9999838
AMOTL1,AMOTL1,0.999996
AMPD2,AMPD2,1.0
AMPD3,AMPD3,1.0
AMT,AMT,1.0
AMZ2,AMZ2,0.9999676
ANAPC1,ANAPC1,0.999986
ANAPC10,ANAPC10,1.0
ANAPC11,ANAPC11,0.9999983
ANAPC13,ANAPC13,1.0
ANAPC15,ANAPC15,1.0
ANAPC16,ANAPC16,0.9999925
ANAPC2,ANAPC2,0.99998003
ANAPC4,ANAPC4,0.99997514
ANAPC5,ANAPC5,0.9999892
ANAPC7,ANAPC7,1.0
ANG,ANG,1.0
ANGEL1,ANGEL1,0.9999969
ANGEL2,ANGEL2,0.9999838
ANGPT1,ANGPT1,0.9999848
ANGPT2,ANGPT2,1.0
NDRG1,ANGPTL4,0.40204284
ATP8B4,ANGPTL4,0.42781785
PLAU,ANGPTL4,0.45982796
ANGPTL4,ANGPTL4,1.0
ANGPTL6,ANGPTL6,0.99999124
ANK1,ANK1,1.0
ANKAR,ANKAR,0.9999776
ANKDD1A,ANKDD1A,0.99997014
ANKDD1B,ANKDD1B,0.9999728
ANKEF1,ANKEF1,0.99995506
ANKFY1,ANKFY1,0.9999936
ANKH,ANKH,0.99997884
ANKHD1,ANKHD1,1.0
ANKIB1,ANKIB1,0.9999906
ANKLE1,ANKLE1,1.0
ANKLE2,ANKLE2,1.0
ANKMY1,ANKMY1,1.0
ANKMY2,ANKMY2,1.0
ANKRA2,ANKRA2,1.0
ANKRD10,ANKRD10,0.99999917
ANKRD11,ANKRD11,0.99997544
ANKRD12,ANKRD12,0.9999721
ANKRD13A,ANKRD13A,1.0
ANKRD13B,ANKRD13B,1.0
ANKRD13C,ANKRD13C,0.9999895
ANKRD13D,ANKRD13D,0.9999571
ANKRD16,ANKRD16,0.9999947
ANKRD17,ANKRD17,1.0
ANKRD23,ANKRD23,0.999982
ANKRD26,ANKRD26,1.0
ANKRD27,ANKRD27,0.99998575
ANKRD28,ANKRD28,0.99999964
ANKRD33B,ANKRD33B,1.0
ANKRD34A,ANKRD34A,0.99998385
ANKRD36,ANKRD36,1.0
ANKRD36C,ANKRD36C,0.99998283
ANKRD37,ANKRD37,0.9999625
ANKRD39,ANKRD39,0.9999839
ANKRD40,ANKRD40,1.0
ANKRD42,ANKRD42,0.99996704
